provincia,localidad,promocion,viviendas,planta,dormitorios,banos,superficie,terraza,precio
A Coruña,Santiago De Compostela,Cornes,Vivienda A,1,3,2,115.26,-,269.000
A Coruña,Santiago De Compostela,Cornes,Vivienda B,1,3,2,115.26,-,269.000
A Coruña,Santiago De Compostela,Cornes,Vivienda C,1,3,2,116.19,-,269.000
A Coruña,Santiago De Compostela,Cornes,Vivienda D,4,4,2,137.93,-,363.000
A Coruña,Santiago De Compostela,Cornes,Vivienda E,4,3,2,129.52,-,318.000
A Coruña,Santiago De Compostela,Cornes,Vivienda F,1,2,2,93.38,-,219.000
A Coruña,Santiago De Compostela,Cornes,Vivienda G,4,3,2,128.71,18.46,337.000
A Coruña,Santiago De Compostela,Cornes,Vivienda H,4,4,3,176.45,-,439.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda A,1,3,2,93.3,4.6,354.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda B,1,1,1,53.95,-,171.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda C,1,3,2,88.95,-,338.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda D,2,1,1,53.95,-,174.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda E,2,3,2,88.95,-,341.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda F,6,4,2,105.1,38.55,423.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda G,1,2,2,78.9,4.9,271.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda H,2,3,2,88.95,-,323.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda I,5,3,2,85.6,-,312.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda J,6,4,2,130.9,32.3,529.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda K,2,2,2,72.15,-,232.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda L,2,1,1,53.65,6.25,177.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda M,4,2,2,93.5,17.1,274.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda N,0,Estudio,1,48.55,-,176.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda O,1,Estudio,1,43.05,4.8,139.000
A Coruña,A Coruña Capital,Xardins da Gaiteira,Vivienda P,1,Estudio,1,44.25,5.3,144.000
A Coruña,Santiago De Compostela,Residencial San Marcos,Vivienda A,0,3,2,139.2,19,250.000
A Coruña,Santiago De Compostela,Residencial San Marcos,Vivienda B,0,3,2,140.15,19,266.000
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda A,0,4,2,140.15,-,277.000
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda B,0,4,2,139.2,-,261.500
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda C,0,4,2,139.2,-,261.500
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda D,0,4,2,139.2,-,261.500
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda E,0,4,2,140.15,-,275.000
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda F,0,4,2,140.15,-,277.000
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda G,0,4,2,139.2,-,261.500
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda H,0,4,2,139.2,-,261.500
A Coruña,Santiago De Compostela,Residencial San Marcos II,Vivienda I,0,4,2,140.15,-,274.000
